read_code,cat_vision_1,cat_vision_2,cat_caliber_1,cat_phenotype_1,cat_opensafely_2,cat_res56_1,read_term_1,read_term_2
9t22.,White,NA,NA,NA,NA,NA,White: Irish - Scotland ethnic category 2011 census,NA
9t23.,White,NA,NA,NA,NA,NA,White: Gypsy/Irish Traveller - Scotland ethnic cat 2011 cens,NA
9t24.,White,NA,NA,NA,NA,NA,White: Polish - Scotland ethnic category 2011 census,NA
9t25.,White,NA,NA,NA,NA,NA,White: other White ethnic grp- Scotland ethnic cat 2011 cens,NA
9t26.,Mixed,NA,NA,NA,NA,NA,Mixed/multiple ethnic grps: any- Scot ethnic cat 2011 census,NA
9t27.,Asian,NA,NA,NA,NA,NA,Asian: Pakistani/Pakistani Scot/Pakistani Brit- Scot 2011,NA
9t28.,Asian,NA,NA,NA,NA,NA,Asian: Indian Indian Scot/Indian Brit- Scotland 2011 census,NA
9t29.,Asian,NA,NA,NA,NA,NA,Bangladeshi Bangladeshi Scot or Bangladeshi Brit- Scot 2011,NA
9t2A.,Asian,NA,NA,NA,NA,NA,Asian: Chinese - Scotland ethnic category 2011 census,NA
9t2B.,Asian,NA,NA,NA,NA,NA,Asian: other Asian group - Scotland ethnic cat 2011 census,NA
9t2C.,Black,NA,NA,NA,NA,NA,African: African/African Scot/African Brit - Scotland 2011,NA
9t2D.,Unknown,NA,NA,NA,NA,NA,African: any other African - Scotland ethnic cat 2011 census,NA
9t2E.,Black,NA,NA,NA,NA,NA,Carib/Black: Caribbean/Carib Scot/Carib Brit- Scotland 2011,NA
9t2F.,Black,NA,NA,NA,NA,NA,Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens,NA
9t2G.,Black,NA,NA,NA,NA,NA,Carib/Black: any other Black/Caribbean grp - Scotland 2011,NA
9t2H.,Other,NA,NA,NA,NA,NA,Other ethnic grp: Arab/Arab Scot/Arab British- Scotland 2011,NA
9t2J.,Other,NA,NA,NA,NA,NA,Other ethnic grp: any other ethnic grp- Scotland 2011 census,NA
9T3..,Other,NA,NA,NA,NA,NA,Yemeni,NA
9T4..,Other,NA,NA,NA,NA,NA,Romanian,NA
9T5..,Other,NA,NA,NA,NA,NA,Bulgarian,NA
9T6..,Other,NA,NA,NA,NA,NA,Czech,NA
9T7..,Other,NA,NA,NA,NA,NA,Slovak,NA
9T8..,Other,NA,NA,NA,NA,NA,Portuguese,NA
9T9..,Asian,NA,NA,NA,NA,NA,Nepali,NA
9TC..,Other,NA,NA,NA,NA,NA,Roma ethnic group,NA
9TC0.,Other,NA,NA,NA,NA,NA,Bulgarian Roma,NA
9TC1.,Other,NA,NA,NA,NA,NA,Czech Roma,NA
9TC2.,Other,NA,NA,NA,NA,NA,Polish Roma,NA
9TC3.,Other,NA,NA,NA,NA,NA,Romanian Roma,NA
9TC4.,Other,NA,NA,NA,NA,NA,Slovak Roma,NA
9TC5.,Other,NA,NA,NA,NA,NA,Hungarian Roma,NA
XactH,NA,White: English or Welsh or Scottish or Northern Irish or British,NA,NA,White,NA,White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census,NA
XactI,NA,White: Irish,NA,NA,White,NA,White: Irish - England and Wales ethnic category 2011 census,NA
XactJ,NA,White: Gypsy or Irish Traveller,NA,NA,White,NA,White: Gypsy/Irish Traveller - Eng+Wales eth cat 2011 census,NA
XactK,NA,White: Any other White background,NA,NA,White,NA,White: other White backgrd- Eng+Wales ethnic cat 2011 census,NA
XactL,NA,Mixed or multiple ethnic groups: White and Black Caribbean,NA,NA,Mixed,NA,Mixed: White+Black Caribbean - Eng+Wales eth cat 2011 census,NA
Xactd,NA,Mixed or multiple ethnic groups: White and Black African,NA,NA,Mixed,NA,Mixed: White+Black African - Eng+Wales eth cat 2011 census,NA
Xacte,NA,Mixed or multiple ethnic groups: White and Asian,NA,NA,Mixed,NA,Mixed: White+Asian - Eng+Wales ethnic category 2011 census,NA
Xactf,NA,Mixed or multiple ethnic groups: Any other Mixed or multiple ethnic background,NA,NA,Mixed,NA,Mixed: other Mixed/multiple backgrd - Eng+Wales 2011 census,NA
Xactg,NA,Asian or Asian British: Indian,NA,NA,Asian British,NA,Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census,NA
Xacth,NA,Asian or Asian British: Pakistani,NA,NA,Asian British,NA,Asian/Asian British:Pakistani- Eng+Wales eth cat 2011 census,NA
Xacti,NA,Asian or Asian British: Bangladeshi,NA,NA,Asian British,NA,Asian/Asian Brit: Bangladeshi- Eng+Wales eth cat 2011 census,NA
Xactj,NA,Asian or Asian British: Chinese,NA,NA,Other,NA,Asian/Asian Brit: Chinese - Eng+Wales ethnic cat 2011 census,NA
Xactk,NA,Asian or Asian British: Any other Asian background,NA,NA,Asian British,NA,Asian/Asian Brit: other Asian- Eng+Wales eth cat 2011 census,NA
Xactl,NA,Black or African or Caribbean or Black British: African,NA,NA,Black,NA,Black/African/Carib/Black Brit: African- Eng+Wales 2011 cens,NA
Xactm,NA,Black or African or Caribbean or Black British: Caribbean,NA,NA,Black,NA,Black/African/Caribbn/Black Brit: Caribbean - Eng+Wales 2011,NA
Xactn,NA,Black or African or Caribbean or Black British: Any other Black or African or Caribbean background,NA,NA,Black,NA,Black/Afr/Carib/Black Brit: other Black- Eng+Wales 2011 cens,NA
Xacto,NA,Other ethnic group: Arab,NA,NA,Other,NA,Other ethnic group: Arab - Eng+Wales ethnic cat 2011 census,NA
Xactp,NA,Other ethnic group: Any other ethnic group,NA,NA,Other,NA,Other ethnic: any other grp - Eng+Wales eth cat 2011 census,NA
XaJRB,NA,Not stated,NA,NA,NA,NA,NA,NA
XaQEa,NA,White: English or Welsh or Scottish or Northern Irish or British,NA,NA,White,NA,White British - ethnic category 2001 census,NA
XaQEb,NA,White: Irish,NA,NA,White,NA,White Irish - ethnic category 2001 census,NA
XaJSD,NA,White: Gypsy or Irish Traveller,NA,NA,White,NA,Gypsy/Romany - ethnic category 2001 census,NA
XaJQy,NA,Mixed or multiple ethnic groups: White and Black Caribbean,NA,NA,Mixed,NA,White and Black Caribbean - ethnic category 2001 census,NA
XaJR0,NA,Mixed or multiple ethnic groups: White and Asian,NA,NA,Mixed,NA,White and Asian - ethnic category 2001 census,NA
XaJR2,NA,Asian or Asian British: Indian,NA,NA,Asian British,NA,Indian or British Indian - ethnic category 2001 census,NA
XaJR3,NA,Asian or Asian British: Pakistani,NA,NA,Asian British,NA,Pakistani or British Pakistani - ethnic category 2001 census,NA
XaJR4,NA,Asian or Asian British: Bangladeshi,NA,NA,Asian British,NA,Bangladeshi or British Bangladeshi - ethn categ 2001 census,NA
XaJRL,NA,Asian or Asian British: Chinese,NA,NA,Mixed,NA,Asian and Chinese - ethnic category 2001 census,NA
XaJSS,NA,Other ethnic group: Arab,NA,NA,Other,NA,Arab - ethnic category 2001 census,NA
XaJSg,NA,Other ethnic group: Any other ethnic group,NA,NA,Other,NA,Any other group - ethnic category 2001 census,NA
XaJSB,NA,White: Gypsy or Irish Traveller,NA,NA,White,NA,Irish Traveller - ethnic category 2001 census,NA
XaJR9,NA,Asian or Asian British: Chinese,NA,NA,Other,NA,Chinese - ethnic category 2001 census,NA
XaJRA,NA,Other ethnic group: Any other ethnic group,NA,NA,Other,NA,Other - ethnic category 2001 census,NA
XaJSC,NA,White: Gypsy or Irish Traveller,NA,NA,White,NA,Traveller - ethnic category 2001 census,NA
